公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利,工作年限,经验,salary,月工资
成都金铠甲科技有限公司,金铠甲科技,50-150人,不需要融资,高新区,Java中级开发工程师,3-5年,本科,8k-15k,五险一金 餐补 带薪年假 定期体检 节日福利,"['3', '5']",4.0,"['8', '15']",9.75
深圳市金证科技股份有限公司,金证股份,2000人以上,上市公司,锦江区,JAVA,1-3年,大专,4k-8k,"上市公司,年度体检,五险一金,大型项目","['1', '3']",2.0,"['4', '8']",5.0
北京天广汇通科技有限公司,天广汇通,50-150人,不需要融资,武侯区,JAVA高级开发工程师,3-5年,本科,10k-16k,"六险一金,体检,零食,领导好","['3', '5']",4.0,"['10', '16']",11.5
壹玖壹玖酒类平台科技股份有限公司,1919酒类直供,2000人以上,上市公司,武侯区,中高级JAVA开发工程师,3-5年,大专,10k-16k,"五险一金,弹性上班,节日福利,项目激励","['3', '5']",4.0,"['10', '16']",11.5
成都第六纪智能科技有限公司,第六纪,15-50人,未融资,高新区,Python(AI) 人工智能/Java开发工程师,5-10年,本科,17k-25k,工作氛围好,"['5', '10']",7.5,"['17', '25']",19.0
重庆盼达汽车租赁有限公司,盼达用车,500-2000人,未融资,锦江区,Java中级开发工程师,3-5年,本科,8k-14k,"弹性工作,五险一金,活泼扁平化,年终奖","['3', '5']",4.0,"['8', '14']",9.5
四川久远银海软件股份有限公司,久远银海,500-2000人,上市公司,锦江区,JAVA软件工程师,3-5年,本科,6k-12k,春节长假,"['3', '5']",4.0,"['6', '12']",7.5
成都旸谷信息技术有限公司,旸谷技术,15-50人,未融资,高新区,JAVA开发工程师（高级）,5-10年,本科,10k-20k,"领导好,行业前景好,收入高,福利好","['5', '10']",7.5,"['10', '20']",12.5
新希望六和股份有限公司,新希望六和,2000人以上,上市公司,锦江区,高级Java开发工程师,5-10年,大专,15k-25k,团队氛围好 专业性强 领导nice,"['5', '10']",7.5,"['15', '25']",17.5
四川妥妥递科技有限公司,妥妥递,50-150人,A轮,锦江区,中高级JAVA开发工程师,3-5年,大专,10k-20k,"豪华团队,金融科技,员工福利,后端开发","['3', '5']",4.0,"['10', '20']",12.5
南京君合创胜数据科技有限责任公司,君合创胜,500-2000人,不需要融资,青羊区,Java开发工程师（成都）,1-3年,本科,6k-12k,"五险一金,年度旅游,年度旅游,年终奖","['1', '3']",2.0,"['6', '12']",7.5
